OBJECTID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,County,GlobalID,Shape_STArea__,Shape_STLength__,ID,GEOID10_1,Total_Population,Population_Under_18,Population_Under_5,PopPerSqMile
104,48342,2648342,14852162,135050,Oakland,f83502f5-d02c-491d-81db-d8cdf2e7a96a,161294888.877954,76137.6998593169,65,48342,17655,5173,1686,3078.76283178887
105,48327,2648327,29357542,1254703,Oakland,100329d1-9088-4a5d-a932-44cb3a4451ca,329454115.003785,89687.6588127984,56,48327,22870,4841,1224,2017.64457675784
106,48367,2648367,60738183,2515683,Oakland,0983b126-51cb-4f4d-8bd2-cceb99d70f61,680738294.747487,113095.347453793,76,48367,4634,1113,200,197.602495248307
107,48186,2648186,21391213,15889,Wayne,efafd96e-b09f-40e0-b26d-d8876f21b614,230406366.792687,95206.2183469565,416,48186,35323,8307,1894,4276.81396808264
108,48226,2648226,3197600,0,Wayne,e6058515-7444-4ccd-a4bd-ae10f24d6c4c,34415725.9427024,40734.2570298891,23,48226,5522,227,93,4472.70708820715
109,48462,2648462,123305612,3336299,Oakland,dae2b49a-4882-40fa-bfb2-c4aa27752689,1362918480.33246,246675.162438199,134,48462,13671,3439,469,287.154502915035
110,48066,2648066,25516402,74007,Macomb,3a362728-5389-4b1a-83bb-e295559d7032,275417193.976734,80315.0308628412,330,48066,47453,10995,2949,4816.62049111927
111,48310,2648310,21908557,69654,Macomb,f67cd3e1-61e7-46e6-a84c-c5e06660b656,236536668.621491,81726.9448698484,44,48310,43519,8941,2407,5144.73872682977
112,48092,2648092,21213730,94029,Macomb,b599754e-027b-4f50-8e49-a27219175ce1,229323509.608747,84966.9814941906,350,48092,26741,5523,1432,3264.81665790834
113,48051,2648051,39007428,144086,Macomb,0ca06e10-9ae7-4979-a6d4-a4cc8a9d33b9,421355144.095408,140735.960833423,322,48051,17014,4646,1200,1129.68484751216
114,48164,2648164,76119149,380809,Wayne,9ce0c25f-c12a-40d7-9256-e280e6720873,823433127.345266,201992.025184368,398,48164,9171,2499,421,312.047681267162
115,48370,2648370,30968042,318137,Oakland,36c0b59a-1ef1-4fcc-baaa-5f1c35eb97b7,336701928.345079,90468.2528762338,77,48370,1880,500,50,157.232490169686
116,48307,2648307,39752809,131153,Oakland,d5ff4422-b746-431f-afdc-a07237812c9f,429237502.680691,91249.070237074,42,48307,41196,9463,2862,2684.01796321697
117,48382,2648382,42605404,4905944,Oakland,d50804c6-3151-4c83-9126-169c56653376,511330492.522387,131094.749169735,84,48382,22153,5820,1357,1346.6850855607
