OBJECTID,ZCTA5CE10,GEOID10,ALAND10,AWATER10,County,GlobalID,Shape_STArea__,Shape_STLength__,ID,GEOID10_1,Total_Population,Population_Under_18,Population_Under_5,PopPerSqMile
154,48021,2648021,13253190,5331,Macomb,e2355ddd-e0d7-49b8-8f48-ba5709bfba13,142696135.2217,50329.4231225611,297,48021,32481,8547,1858,6347.56501793568
155,48035,2648035,22772757,100522,Macomb,159a7287-3131-4286-b8c1-d4508a292258,246171674.609044,78631.2434451961,308,48035,34367,7515,2277,3908.62676500234
156,48044,2648044,34968458,194242,Macomb,b7739c81-d370-41f1-ab3d-01d1f698761d,378428184.379592,94057.2704780237,316,48044,54009,15353,3999,4000.25655165363
157,48094,2648094,45382986,2377070,Macomb,2b81f294-40d7-4211-9aee-2773309f61b1,513997023.90208,108873.878049075,352,48094,18446,4526,865,1052.70655648557
158,48089,2648089,20623879,4901,Macomb,9d40e983-2ba8-4f16-b868-407332323501,222018651.749882,66649.2031565316,348,48089,30929,8367,2228,3884.12964326368
159,48065,2648065,96830565,1100722,Macomb,556114d7-6357-4a7f-a5b7-a33aad1aa811,1053937062.81161,135656.670024972,329,48065,10745,2171,478,287.403560808698
160,48050,2648050,48119193,169262,Macomb,eb3030a5-71f6-45a9-ad23-dc351e3c31f4,519682756.943259,102835.026279302,321,48050,1823,351,74,98.1220298974928
161,48015,2648015,4424023,0,Macomb,eb86e1ba-a69f-475d-955f-96029a1404b3,47613537.5711063,29218.7626768362,295,48015,8279,1885,393,4846.84015327454
162,48082,2648082,8542622,1957359,Macomb,1ecb7bf5-f0a0-4a5b-ba2c-aff4fcb451f6,113006017.685418,47196.13553078,343,48082,16719,3458,802,5068.94172773934
163,48323,2648323,22625294,3528983,Oakland,637a2667-2709-48a8-a470-d01dc3910881,281479853.451745,116950.193403037,53,48323,17536,4194,834,2007.40266420067
164,48098,2648098,24324089,30981,Oakland,c6d82a6b-40c8-4b86-8a25-3da5db60c201,262115529.721892,65492.8890955827,356,48098,19452,4398,883,2071.21826743287
165,48381,2648381,51852337,1968626,Oakland,ddbd8cb4-70a1-478d-8cb1-6469a6a00654,579241589.250743,124070.83930605,83,48381,12868,2903,728,642.748257524213
166,48234,2648234,20288109,0,Wayne,b0eab9e3-0f9d-4d29-a2b6-f3b8bfda84c2,218353579.186931,96083.3830472126,29,48234,34862,8852,2206,4450.50117181183
167,48210,2648210,13057914,0,Wayne,0e6a6149-6e88-4e75-8034-68c59f56412b,140541483.342275,54764.7211990821,8,48210,31881,11583,3641,6323.48251413304
168,48202,2648202,8616314,0,Wayne,9ee00ca8-7b12-47bc-9681-276051e44a8e,92735735.9219059,52981.5300289726,428,48202,16227,2647,644,4877.69801990764
169,48235,2648235,16189821,0,Wayne,748e7000-8ed6-40d1-9700-b56238c90f41,174245274.57949,60042.5144644566,30,48235,45979,11206,2724,7355.55869109765
170,48124,2648124,22934067,115622,Wayne,e1b06c80-62be-4561-aece-3dc6073c4e4b,248085409.149268,79587.4157962308,370,48124,30529,6490,1756,3447.70177641477
171,48183,2648183,48139682,2168611,Wayne,c3b5ffd8-3580-4463-a640-1156aacb8918,541508466.568094,141987.663096446,413,48183,42789,9386,2257,2302.11550829705
172,48154,2648154,30085171,7419,Wayne,233d9d89-e421-4958-a0e7-0997d3fc0daa,323878046.348994,93097.8804309595,391,48154,37932,7271,1578,3265.5132347934
173,48240,2648240,9695508,0,Wayne,c8b2a95a-aacd-43f7-aee6-27723b426fbb,104349254.442677,43454.9130528366,35,48240,17671,3994,1179,4720.50811439419
174,48125,2648125,10489268,956,Wayne,7b8d1f04-ba11-4ab0-b8d0-bbd41124dc20,112907709.82583,78457.678166471,371,48125,20056,4534,1368,4952.19035379128
